geoid,geoid20,year,denom_renters,med_gross_rent,med_gross_rent_adj
1400000US06037189801,6037189801,2019,984,1761,1761
1400000US06037189802,6037189802,2019,764,1761,1761
1400000US06037189903,6037189903,2019,1067,1961,1961
1400000US06037189904,6037189904,2019,1478,1698,1698
1400000US06037189905,6037189905,2019,1147,1785,1785
1400000US06037189906,6037189906,2019,1618,1777,1777
1400000US06037189907,6037189907,2019,1295,1777,1777
1400000US06037190101,6037190101,2019,969,1609,1609
1400000US06037190102,6037190102,2019,1626,1609,1609
1400000US06037190201,6037190201,2019,1264,1174,1174
1400000US06037190202,6037190202,2019,2283,1526,1526
1400000US06037190302,6037190302,2019,1562,1176,1176
1400000US06037190303,6037190303,2019,1065,1176,1176
1400000US06037190401,6037190401,2019,1733,1378,1378
1400000US06037190402,6037190402,2019,1355,1325,1325
1400000US06037190510,6037190510,2019,1712,1370,1370
1400000US06037190520,6037190520,2019,1487,1259,1259
1400000US06037190701,6037190701,2019,1020,1375,1375
1400000US06037190702,6037190702,2019,461,1375,1375
1400000US06037190801,6037190801,2019,1195,1172,1172
1400000US06037190802,6037190802,2019,1213,1261,1261
1400000US06037190901,6037190901,2019,1313,1161,1161
1400000US06037190902,6037190902,2019,1435,1215,1215
1400000US06037191000,6037191000,2019,2257,1738,1738
1400000US06037191110,6037191110,2019,992,1141,1141
1400000US06037191120,6037191120,2019,1411,1165,1165
1400000US06037191201,6037191201,2019,1520,1187,1187
1400000US06037191203,6037191203,2019,1113,1052,1052
1400000US06037191204,6037191204,2019,792,1175,1175
1400000US06037191301,6037191301,2019,832,1307,1307
1400000US06037191302,6037191302,2019,773,1275,1275
1400000US06037191410,6037191410,2019,1555,1085,1085
1400000US06037191420,6037191420,2019,1130,1343,1343
1400000US06037191500,6037191500,2019,1386,1216,1216
1400000US06037191610,6037191610,2019,1293,1251,1251
1400000US06037191620,6037191620,2019,995,1196,1196
1400000US06037191710,6037191710,2019,1170,1053,1053
1400000US06037191720,6037191720,2019,1105,1119,1119
1400000US06037191810,6037191810,2019,1202,1377,1377
1400000US06037191820,6037191820,2019,1328,1437,1437
1400000US06037191901,6037191901,2019,1656,1712,1712
1400000US06037191902,6037191902,2019,759,1847,1847
1400000US06037192001,6037192001,2019,927,1785,1785
1400000US06037192002,6037192002,2019,660,2197,2197
1400000US06037192300,6037192300,2019,875,1977,1977
1400000US06037192410,6037192410,2019,1084,1442,1442
1400000US06037192420,6037192420,2019,1245,1494,1494
1400000US06037192510,6037192510,2019,958,1445,1445
1400000US06037192520,6037192520,2019,1496,1221,1221
1400000US06037192610,6037192610,2019,1242,1190,1190
1400000US06037192620,6037192620,2019,1096,1205,1205
1400000US06037192700,6037192700,2019,901,1351,1351
1400000US06037194101,6037194101,2019,1051,1956,1956
1400000US06037194102,6037194102,2019,341,1706,1706
1400000US06037194200,6037194200,2019,314,2679,2679
1400000US06037194300,6037194300,2019,396,3501,3501
1400000US06037194401,6037194401,2019,987,1764,1764
1400000US06037194402,6037194402,2019,1386,2590,2590
1400000US06037194500,6037194500,2019,468,2064,2064
1400000US06037195100,6037195100,2019,775,1905,1905
1400000US06037195201,6037195201,2019,1362,1720,1720
1400000US06037195202,6037195202,2019,669,2288,2288
1400000US06037195300,6037195300,2019,1111,1452,1452
1400000US06037195400,6037195400,2019,1447,1534,1534
1400000US06037195500,6037195500,2019,1259,1698,1698
1400000US06037195600,6037195600,2019,881,1279,1279
1400000US06037195710,6037195710,2019,1133,1259,1259
1400000US06037195720,6037195720,2019,662,1183,1183
1400000US06037195802,6037195802,2019,716,1404,1404
1400000US06037195803,6037195803,2019,840,1627,1627
1400000US06037195804,6037195804,2019,729,1503,1503
1400000US06037195901,6037195901,2019,896,1465,1465
1400000US06037195902,6037195902,2019,807,1471,1471
1400000US06037195903,6037195903,2019,753,1440,1440
1400000US06037197200,6037197200,2019,585,1612,1612
1400000US06037197300,6037197300,2019,1358,1537,1537
1400000US06037197410,6037197410,2019,821,1861,1861
1400000US06037197420,6037197420,2019,909,1361,1361
1400000US06037197500,6037197500,2019,1207,1426,1426
1400000US06037197600,6037197600,2019,724,1683,1683
1400000US06037197700,6037197700,2019,1744,1572,1572
1400000US06037199001,6037199001,2019,199,1193,1193
1400000US06037199002,6037199002,2019,1073,1192,1192
1400000US06037199110,6037199110,2019,277,1327,1327
1400000US06037199120,6037199120,2019,883,1134,1134
1400000US06037199201,6037199201,2019,965,1105,1105
1400000US06037199202,6037199202,2019,499,1267,1267
1400000US06037199300,6037199300,2019,541,1294,1294
1400000US06037199400,6037199400,2019,972,1163,1163
1400000US06037199700,6037199700,2019,855,1216,1216
1400000US06037199801,6037199801,2019,566,1095,1095
1400000US06037199802,6037199802,2019,502,1095,1095
1400000US06037199900,6037199900,2019,634,982,982
1400000US06037201110,6037201110,2019,243,1179,1179
1400000US06037201120,6037201120,2019,840,1392,1392
1400000US06037201200,6037201200,2019,420,1139,1139
1400000US06037201301,6037201301,2019,557,968,968
1400000US06037201302,6037201302,2019,697,1829,1829
1400000US06037201401,6037201401,2019,730,1180,1180
1400000US06037201402,6037201402,2019,470,1192,1192
1400000US06037201501,6037201501,2019,889,1198,1198
1400000US06037201503,6037201503,2019,683,1215,1215
1400000US06037201504,6037201504,2019,286,1197,1197
